title,summary,can_read
1880-1889 ^,"An enthusiastic, basic account of the usual sights, illustrated with a number of Biblical quotes. ""The camels were coming down the narrow streets. Turkish soldiers line the docks; the minarets of mosques were seen in all parts of the city; Bible pictures represented life in Egypt more than thirty-five hundred years ago seemed to have risen into life from out of the dead past,"" p. 231. Illustrated.",false
1882. London:,"Visiting Port Said, Suez, Cairo, and Alexandria, on his way to the Holy Land, Walker gives a basic account of the sights.",false
1900-1907 ^2^,"Hoenshel sees only a bit of Egypt, Port Said and the Cairo area, for which he gives a rather basic description. He also includes a history of Egypt. He travels with Abraham Lot whom he met in Palestme. ""At Luxor I Ungered awhile at sunset and in the fading after-glow by the ruins of its famous Temples, and then I return to wander in a dream-vision through a land whose Elysian plains and fair hillsides are not marked with a single tome,"" p. 119. Illustrated with poorly reproduced photographs.",false
327 p.,"Visited Alexandria, Cairo, Luxor, and Nile to Aswan. UNREAD. Illustrated with photographs.",false
"40,000 miles around the world: a personal narrative of the experiences and impressions of an energetic traveller who crossed the Equator and the Arctic circle in the tour.","""We were accosted on every side in our walk about the city by an army of dragomen to go and visit the 'Hootchy-Kootchy' dance, the dance with naked women, and would suggest to you all sorts of vileness or indecency that could possibly be thought of,"" p. 114. Bush did not like his stay in Egypt where he saw mostly Cairo. Part of an around-the- world trip. Illustrated with photographs.",false
[The country of the,No info,true
A Baptist abroad; or travels and adventures in Europe and all Bible lands.,"A brief, basic account of the Rev. Whittle's trip to Port Said, Suez, and Cairo. Illustrated.",true
A boy's experiences around the world by the boy himself.,"""After taking pictures of the party, Sphinx and Pyramids, we hired some camels from some anxious men who wanted a job and rode back to the street car station,"" p. 107. Brief, basic account, primarily of the Pyramids and Cairo, on Bradt's stop in Egypt during his around-the- world trip with his family. Illustrated with photographs.",false
A Calif ornian circling the globe; illustrated from photographs.,"On an around-the-world tour. Fuller made a brief stop in Egypt, visiting Port Said, Cairo, and the Nile as far south as Aswan. ""Over undulating ridges of sand our course lay. Some stretches were drifted hard where our donkeys could gallop as well as California mus- tangs,"" p. 235. Fuller was at the opening of the Aswan Dam and gives a detailed account. Illustrated with photographs. Appeared first as letters in the Redlands (California) Daily Review.",false
"A circuit of the globe: a series of letters of travel across the American continent, through the Hawaiian Republic, Japan, China, the Straits Settlements, Burma, India, Ceylon, Australia, Egypt, Palestine, Syria, Turkey, Greece, Italy, Switzerland, Germany, Scandinavia, France and England.","On an around-the-world trip, McLean, a Protestant minister, visited Alexandria, Ismailia, Suez, and Cairo. Visits the United Presbyterian of America missions and schools. Excellent reading. Tells and praises the story of Miss Whately (q.v.). Illustrated with photographs.",true
"A collection of letters written home during a tour to and from Egypt, up the Nile to First cataract","In a staccato, journal/letter-style Middleton describes his journey from Alexandria to Luxor. Sailing up the Nile in the Behera, he gives a basic account of the sights (“Our chief annoyance here is the howling of the dogs, always a large colony at these Arab places, making a hideous noise. They shoot about half-a-dozen every night near the hotel just as a precaution, but as nobody owns them, nobody’s toes are trodden on,” pp. 88-89).",false
A descriptive reading on Egypt.,Illustrations for lantern slides. Basic description of the sights of Egypt from Alexandria to Abu Simbel illustrated on the slides (not included in item). Unclear if Parrott actually visited Egypt.,true
"A diary around the world; 30 countries, 160 places, 37,460 miles, expense.",Diary-style entries describing Struthers' brief stop in Alexandria and Port Said on an around-the-world trip.,false
A trip around the world.,A very brief account of the Pyramids and Sphinx. Traveled with Charles Cramer and John F. Leidlein. Illustrated with plates and colored lithographs.,true
Egypt as a winter resort.,No info. CITED IN WILBOUR.,true
Eine Reise um die Welt.,A very brief account of the Pyramids and Sphinx. Traveled with Charles Cramer and John F. Leidlein. Illustrated with plates and colored lithographs.,true
A domine Bible lands.,"""But while doubting then the prophetic character ascribed to the Great Pyramid, we may grant its scientific value; it is a monument to the wisdom of those ancient Egyptians. And because it is in a sense a monument to Him who gives men the faculties to acquire such wisdom. Pointing towards the unclouded sky, it points to Him who lives and reigns above the sky,"" p. 26. Visiting Alexandria, Cairo, the Pyramids and Sphinx, Luxor and other sights up the Nile, the Rev. Read gives an adequate account of his travels, including a brief section on the fad of Pyramidology (still with us today), as well as American missions in Egypt and a history of the Copts. Illustrated with photographs.",true
A girdle round the earth Home letters from foreign lands.,"On an around-the- world trip, Richardson makes a brief stop in Suez, Alexandria and Cairo before going on to the Holy Land. Brief, but good account.",true
"A girl's journey through Europe,","""We girls were wild to climb to the top, as we had gotten along so nicely thus far; but then wiser heads thought it not prudent, so we reluctantly came down,"" p. 104. A fun, well-done account by an eighteen-year old girl who visited Alexandria and Cairo. Traveled with Robert A. and Anna Young (her uncle and aunt), as well as her two cousins, Mary Green and Susie Hunter Young. Illus- trated.",true
A journalist in the Holy Land; glimpses of Egypt and Palestine.,"""Cairo made my eyeballs ache. It is a city of coloured splendour, alive and moving, with a hundred gay pigments astir in the sunshine, and every thoroughfare stuffed full, as it seems, of processioning and pageantry,"" p. 17. Egypt was only a short stop for Copping (Alexandria, Cairo, Pyramids, Suez) on his way to the Holy Land. An exuberant account with detailed illustrations, some in color, by the author's brother, Harold Copping. Most of the book is devoted to Palestine. Illustrated by Harold Copping.",true
A journey 'round the world.,"""There are a number of earnest, persistent, active and loyal Christian workers in the cities of Egypt, who are doing most practical and efficient work for the Master, and on the other hand, there are others, who appear just to have a mere profession and the spirit and character of the world seem to add another plague to Egypt,"" pp. 94-95. Irick, a Southern Evangelist on a missionary tour around the world, stopped briefly in Egypt, visiting Cairo and Memphis, giving a quite good account of the Pyramids. Traveled with Edward and John Roberts and W.B. Godbey (q.v.). Illus- trated with photographs.",true
A journey to Palestine.,A brief account of Alexandria and Cairo. Visited the Pyramids.,true
A journey with the sun around the world.,"On an around-the- world trip, McMahon, a Catholic priest, visits Suez and Cairo. Visits with other priests in Egypt. An interesting, detailed account. Illustrated with photographs.",true
A Levantine log-book.,"A slick, professional account by Hart, a travel writer, of Port Said and the Nile from Cairo to Wadi Haifa.",true
A little journey.,"Traveling with her parents, Margot writes a chatty account of her trip through Egypt from Alexandria to Aswan. Much of the book describes the other English she meets, and is full of unabashed pride in her Enghshness: ""I never go abroad without feeling pride in my country. We are honest and trusted; we are brave and inspire courage, and we are cultivated and clean ... I never saw a country that did not tempt me to say, 'Thank God I am EngUsh,' "" p. 48. Full name: Emma Alice Margaret (Tennant) Asquith.",true
"A photographic expedition in Egypt, Palestine,","A brief account of Egypt (Alexandria, Cairo, and Port Said), il- lustrated with photographs. Simplistic description of the antiquities.",true
A pilgrimage to Jerusalem; the story of the cruise to the Worlds' fourth Sunday-school convention.,"One of many visitors to the Holy Land as part of the Worlds' Fourth Sunday School Convention, Trumbull visited Alexandria and Cairo. An interesting account. On the heat: ""We all lived through it, of course. You are sure you are not going to, but you do. Everyone does. That is the beauty of this dry heat of Egypt. But the sight of the Mayflower in the distance, resting placidly on the waters of the Nile, was Hke a benediction. And the number of scores of bottles of iced lemon soda that were sold on board the little boat that afternoon was all out of proportion to the number of passengers she carried,"" p. 340. A fellow pilgrim, Junius W. Millard, supplied Trumbull with an account of Luxor printed in the volume. Illustrated with photographs.",false
A pilgrimage to Palestine.,"Traveling as part of a large group, Rowland gives a well-written and interesting account of Alexandria, Port Said, and Cairo. ""Port Said is said to be one of the most wicked places on earth, and from what we gathered it would, without a misfit, change its name to Port Perdition,"" p. 105. Illustrated with photographs.",true
A private journal in Egypt: from May 1894 to May 1895.,"A physician under the Sanitary and Quarantine Medical Officer at Port Suez, Attfield was responsible (along with an Austrian and a Frenchman) for boarding each vessel at Suez and checking it out. In this private journal circulated amongst friends in England, he also includes a brief biographical sketch of himself. Visiting most of Egypt during his stay there, he includes descriptions of the people, customs, and costumes; a history of the Suez Canal; and an account of the Canal’s operations. Much of the book is taken up with descriptions of European expatriate community’s social life (“After dinner to-night came a moonlight donkey picnic, to which I had been invited by Mrs. Baglehole, the wife of the Peninsular and Oriental Steamship Company’s agent here. At nine o’clock, under a glorious moon, about five-and-twenty of us—ladies and gentlemen—met at the French hospital, and at the word of command scurried off en route for the Pontoon Bridge, some five or six miles from Suez up the Canal,” p. 135).",true
"A race with the sun; or, A sixteen months’ tour from Chicago around the world.","On an around-the-world trip, Harrison visits Suez, Cairo and Luxor. He sees the usual sights, but gives a good description. He meets Heinrich Schliemann when sailing for Alexandria. “By the way, another of the old acquaintances of the Nile traveler, the crocodile, has entirely disappeared below the first cataract, and almost entirely up to the second or third. The keen love of sport of the English have been too much for him,” p. 312. Illustrated with photographs.",true
A sunshine trip: glimpses of the Orient.,A brief account of Alexandria and Cairo. Bottome quotes copiously from other writers.,true
A tour around the world in 1884.,"A very descriptive and well-written account of Alexandria, Cairo, and the Suez Canal as part of Gorman's around-the-world trip. ""A spell of antiquity gathers about us. We are overwhelmed; but who can think, who can contemplate this picture of life and death, or muse over the boundless past for these thirsty, torturous cries for backshish?,"" p. 150. Illustrated.",true
A tour around the world.,"On an around-the-world tour, Raum gives a brief, tourbook-like account of Egypt from Alexandria to Aswan.",true
A travers la Haute- Egypte.,Beauge describes his adventures living in Upper Egypt. A good account of life in Egypt.,false
A trip around the world.,"“All the rain that falls in Egypt is not over one inch in a year, while we have more than that in Leominster in one good shower. In Cairo it was a standing joke with us each morning whether we should need an umbrella or rain coat,” p. 49. A basic description of Cairo and Port Said as part of an around-the-world trip. Brief, but Harwood seemed interested in what he saw. Illustrated with photographs. First appeared in the Leominster Daily Enterprise.",true
A trip through Bible lands and Europe; a journalistic record of a,"A basic account of Egypt and its associations with the Bible. Oliver visited Alexandria, Cairo, and the Suez area. Illustrated with photographs.",true
A trip to the Holy Land.,"A basic account, illustrated with Biblical quotations; visited Alexandria and Cairo. Attending the Worlds' Fourth Sunday School Convention. Illustrated with photographs.",false
A truth seeker around the world A series of letters written while making a tour of the globe,"A very detailed account of Bennett’s trip around-the-world. A Free Thinker, Bennett was sent on this trip by a subscription by other Free Thinkers. This is a collection of letters about his adventures that he wrote to The Truth Seeker. It includes a history of Egypt and a description of his visits to Cairo, Luxor and the temples in-between. “There are nearly five hundred mosques in Cairo, and I am thankful beyond expression that I am not compelled to visit all of them, for I am almost sure I would rather drown in the Jordan,” p. 495.",false
A vacation on the Nile; a collection of letters written to friends at home by Lewis Parkhurst; illustrated from photographs by T. W.Gilson and Richard Parkhurst.,"Parkhurst, a publisher, traveled with his wife and son Richard, Mr. and Mrs. T.W. Gilson, Mrs. Pond, Irene De Witt, John Gile and a guide, Miss Watson, from Alexandria to Aswan. Seeing the usual sights, they also go to some unusual events: “Our ladies had a rare experience last evening. Through Mrs. Robert Talbot Kelly (q.v.) they were invited to a ‘Mohammedan hen party.’ The ladies of the Khedive and other first families gave a fete in a private residence, or palace, for some charitable purpose; no men wanted, or at least not invited,” p. 88. Illustrated with photographs taken by the party and pencil sketches by the author.",false
A vagabond journey around the world; a narrative of personal experience.,"Both of these are nearly the same, though the later edition was ""rewritten"" by Lena M. Franck. Both are Franck's chatty account of his around-the- world trip. A brief stop in Egypt. Illustrated with photographs.",true
A visit to Europe and the Holy Land.,"Traveling with two other Roman Catholic priests (Thomas Pagan and Joseph Keenan), Fairbanks visited Alexandria and Cairo before continuing on to the Holy Land. A good, well-written account. ""All over the East, although they may sometimes possess considerable bigotry and bitterness, the schismatic priests usually manifest a genuine respect, not unlike a deep feeling of brotherly kindness, toward their Western brethren who acknowledge the supremacy of the great Patriarch of Rome,"" pp. 104-05. Illustrated.",true
"A visit to the Holy land, Syria and Constantinople.",A brief account of Alexandria and Cairo before Martin goes on to the Holy Land.,true
"A voyage round the world in 500 days, with details",,false
"A voyage round the world in 500 days, with details. 3d ed.",A brief stop in Alexandria and Cairo as part of an around-the-world trip. Illustrated.,false
A wandering scholar in the Levant.,"Hogarth, an Oxford professor, visited Egypt, traveling throughout the country, each winter for three years.",true
A wayfarer in Egypt.,"Quibell, the wife of James Edward Quibell, an important Egyptian archaeologist, assisted her husband with his researches. She writes a good account of Egypt from Alexandria to Abu Simbel. Illustrated with photographs.",false
A white woman in a black man's country: three thousand miles up the Nile to Rejaf.,"A fascinating account of Dietz and her husband, Charles N. Dietz as they rent a boat and travel from Aswan deep into the Sudan. Though most of the book is taken up with the account of the Sudan, there is quite a bit on Egypt (Alexandria, Cairo, Luxor, Aswan, and Wadi Haifa). Taking with them Ameha Edwards' A thousand miles up the Nile, Dietz comments on the people and places and how they've not changed much since Edwards' time. ""I have been much interested in the J.P Morgan steam dahabeah, the ""Khargeh,"" which is right in front of the hotel and can be seen from my window. Of course it flies the American flag. His little Pekingese dog is the only thing that don't jump up when Mr. Morgan appears, but quite to the contrary often jumps up in the very chair Mr. Morgan would naturally take,"" p. 293. Told in letters to her sister back home and illustrated with photographs taken by C.N. Dietz.",false
"A winter jaunt through historic lands Embracing Scotland, En- gland, Belgium, France.","Basic account by the Rev. Stine of his trip through Alexandria, Cairo, Luxor, and the Suez area after a European leg and before continuing on to the Holy Land. Stine visited again in 1911. Illustrated.",false
"A winter on the Nile, in Egypt, and in Nubia.","Taking in the usual sights from Alexandria to Aswan, Bell finds in them reasons for digressions on Egyptian history, the Exodus, as well as reasons to quote sources such as Wilkinson and Lane. The last chapter, a refutation of Evolution is perhaps the most interesting: ""Man I believe to be directly God-created, not ape-descended. His origin is subhme, and his destiny glorious; and I summon the very stones in the temple-walls of Egypt to cry out against a theory which appears incompatible with a beUef in the Christian Scripture, and opposed to the statements of the Christian creeds,"" pp. 315-16.",true
A woman's world tour in a motor.,"On an around-the-world trip by car with her Boston bull terrier Honk-Honk, Fisher made a brief stop in Egypt (Port Said, Cairo), seeing the usual sights. ""The sand and desert are impossible for motor-cars at this time, but I think it will be only a short time before they will have lovely rides all around Cairo,"" p. 56. Illustrated with many fun photographs of Honk-Honk, Fisher and her car in curious spots.",true
Du Havre a Marseille par I'Amerique et le Japon.,"On an around-the-world trip, Tinseau visited Suez and a brief stop in Alexandria.",false
A world-pilgrimage.,"On an around-the-world trip, Barrows stopped in Alexandria and Cairo. Having visited before in 1874, he saw less of the usual sights and instead visited schools, and, being a minister, did some preaching. A very detailed account. ""By comparison with Con- stantinople, Cairo, especially during the British occupation, is bright, clean, and decent,"" p. 301. Edited by his daughter, Mary Eleanor Barrows. First appeared as letters in the Chicago Record.",true
A year's wandering in Bible lands.,"Barton, a Bryn Mawr professor, gives a brief, basic account of the usual sights of Port Said, Cairo, Luxor, and Alexandria. Illustrated with photographs.",true
Accidents of an antiquary’s life.,A brief account only of the area around Alexandria. Mostly concerned with other parts of the East.,false
Egypt and its monuments.,No info.,true
Across the sea: observations and experiences in Europe and the East,"A Methodist minister, Davis visited Alexandria and Cairo before continuing his trip to the Holy Land. His text, which includes both a narrative written later interspersed with his letters is interesting since in his narrative he praises Egypt, but in the letters he cannot wait to leave: “We were there long enough to see the chief objects  of interest, and that was quite long enough,” p. 109. Illustrated with photographs.",false
Aegypten 1905.,No info. CITED IN MET. CAT.,false
Aegyptische reiseskizzen.,"Traveling from Cairo to Nubia, Leuchs-Mack's account is more of a guidebook as he gives a detailed account of Egyptian history. Illustrated with photographs.",false
Afloat and ashore on the Mediterranean.,"A professional travel writer, Meriwether gives a basic account of the sights in Alexandria, Cairo and the Suez area. Illustrated with photographs.",true
Album of Egyptian and Turkish photographs assembled by Rudolf and Lula H. Reinhart in 1906 on their wedding trip.,No info. CITED IN MET. CAT.,false
Alexandria: A history and a guide.,No info,true
Alexandria: A history and a guide.,"Though primarily a guidebook, Forster's account of Alexandria still makes good reading.",true
Alone through Syria.,"A bit of a tour-bookish account of Alexandria, Cairo, and Luxor. Illustrated with photographs and engravings.",true
Along Mediterranean shores.,"The principal of the A.H. Burley School in Chicago, Willard wrote this account of Alexandria and Cairo for children. Well done. Illustrated with photographs.",true
Als kampfflieger am Suez-Kanal.,"A detailed account, from the German perspective, of the military actions in Egypt during the First World War. Henkelburg visited only the Sinai.",false
An Endeavorer's working journey around the world.,"Working his way around the world, Anderson, a Christian Endeavorer, stopped in Egypt where he worked on the docks in Alexandria. He also made a brief visit to Cairo and saw the Pyramids. A fascinating, though brief account. Illustrated with photographs.",true
"An engineer’s holiday, or, Notes of a round trip from long.",,false
"An engineer’s holiday; or, Notes of a round trip from long. 2d ed.","b.    On an around-the-world trip, Pidgeon makes a brief stop in Egypt. A long description of Cairo is included; he also visited the Suez Canal. Makes very few comments as an engineer, i.e., how were the Pyramids built, etc.",false
An Oriental outing; being a narrative of a cruise along the Mediterranean and of visits to historic cities.,"A basic, dull account of Alexandria and Cairo. First appeared in the Irontown (Ohio) Register. Illustrated with photographs.",false
Ancient cities and civilizations modernized.,"Mostly a collection of facts on cities in the Levant, including Alexandria, Cairo, and Luxor. Traveled with his wife. See 1890 for his personal-travel account. Illustrated with photographs.",false
"and many other things, being a portrait of himself from youth to age.",1 890-1 899,true
Around the globe and through Bible lands.,"Lambert, on an around-the-world trip gives a basic description of Suez and Cairo. Illustrated with photographs.",true
Around the Mediterranean.,"""Cairo! This is a wonderful city, and I am wild to explore it. An hour ago I went with a lady from Evanston to buy some collars for her doctor son. She wanted me as explaining financier!"" p. 97. An exhilarating, detailed account of Alexandria, Cairo, the Nile to Aswan, and Port Said.",false
Around the world by an oculist.,"Traveling with his wife, Tiffany made a brief stop in Alexandria before continuing on to the Holy Land. Being an oculist, he makes some interesting comments on ophthalmia. Illustrated with photo- graphs.",false
Around the world due west to the far east.,"On an around-the-world trip, MacArthur visited the Suez Canal, Cairo and Alexandria. Basic description of the sights.",true
"Around the world garden of Eden, latter day prophecies and missions.","Traveling around the world with Allie Irick (q.v.), and Edward and John Roberts, Godbey writes a much less interesting account than Irick. Godbey had visited Egypt twice before: once in 1894 where he wrote an account, and again in 1899 when he spent much of his time watching the others visit places (no account written).",true
Around the world in a year.,"A retired New York lawyer on an around-the-world trip with his wife and daughter, Carlisle gives a very detailed account of Egypt (Port Said, and Cairo to Aswan). Includes a history of Lord Cromer. Illustrated with photographs.",true
Around the world in ninety days; a book of travel.,"Traveling with his wife and daughter, Chamberlin visits only the Suez Canal area on an around-the-world trip. Illustrated with many good photographs.",true
Around the world in seven months.,"On an around-the-world trip, Gillis visited Suez and Cairo. Brief account, with a description of the Pyramids.",true
Around the world on sixty dollars.,"Coming from the Holy Land, Meredith made a brief stop in Egypt, visiting Cairo and Alexandria. Includes a detailed expense account. Illustrated.",false
Egypte et Palestine.,"An overwritten account of Alexandria, Cairo, Suez, and the Nile to Aswan. Basic description of the sights. Illustrated.",false
"Egypte, Palestine, Syrie, Turquie, Grece, Italie.","An excellent, simple account of Egypt from Alexandria to Aswan via the Suez Canal. In French. Illustrated with photographs by Luiz Falcao de Sommer.",false
Around the world on the Cleveland.,"""Upon our arrival at the hotel, the unexpected news of King Edward's death was reported to us. Mr. Mihon A. McRai, who was at Shepherd's [sic] Hotel ten years ago at the time of Queen Victoria's death, contrasted the great lamentation then with the entire absence of any demonstration this time,"" p. 279. On an around-the- world trip, Frizell's account of Egypt (Port Said and Cairo) is very brief and basic. Illustrated with photographs.",true
Around the world with a business man.,"A detailed account of Egypt from Cairo to Aswan. Bigger, a friend of presidents (or so he claims) from Lincoln to Roosevelt, sees all the sights, and writes an entertaining account. ""Egypt has no newspapers — that is, native newspapers. There may be a few in Cairo and Alexandria, but of the thousands of natives we have seen, not one had a newspaper or book in his hand, except the Koran, either in city or country. Neither have we seen a game of cards,"" p. 162. Illustrated with photographs.",false
"Egypt and the English, showing British public opinion in Egypt upon the Egyptian question: with chapters on success of the Sudan and the delights of travel in Egypt and the Sudan.","A very jingoistic attempt to arouse fears of losing Egypt to the Germans (or worse). Traveled throughout Egypt, describing the usual sights as he traveled with Cook and Sons by train and steamer up the Nile. “One of the great charms of Egypt, and still more of the Sudan, consists in the type of Young Englishman you see carrying on the administration of the country,” p. xxiv.",true
Around the world with a king.,"Armstrong, a member of King Kalakaua’s—the last king of Hawaii—entourage, visited Egypt on the King’s around-the-world tour. Traveling in great comfort with a large retinue, they met with royalty, and were greeted by the Khedive and General Charles F. Stone (the American officer in charge of the Khedive’s army). “The large frame of the King, with his clothing, so covered his donkey that its identity was lost; the King’s legs nearly touched the ground; it appeared at a short distance as if a new and queer animal, more of man than beast, was moving about, supplied with two heads, six legs, and a tail,” p. 182-83. Illustrated with photographs.",true
Around the world.,"Phillips, the ""Singing Pilgrim,"" makes a brief stop in Alexandria and Cairo on his around-the- world trip. An overwritten, relig- iously-oriented account. Illustrated.",true
"Around the world; a narrative in letter form of a trip around the world from October, 1907, to July, 1908.","A brief, fact-filled description of Egypt, particularly the Suez Canal area and Cairo, which Stephens visited as part of an around-the-world trip. Illustrated with photographs. First ap- peared in his local paper (unnamed).",false
"Around the world; a narrative of a tour of the earth, setting forth the experiences of one who recently made the trip alone, with historical and descriptive data.","""In Egypt a person is pestered day and night by natives, who are forever trying to sell something or to get a person to ride their donkeys or camels or ride in their carriages,"" p. 239. As part of an around-the- world trip, Horn stopped in Egypt, traveling from Port Said to Cairo, and thence up the Nile to Aswan. Brief account; however, he does include a detailed description of the excavations of L. Dow Covington. Illustrated with photographs.",false
As seen by me.,"Bell spent two years traveling through Europe, Russia, Greece, Italy, and Egypt. Two chapters and 32 pages of this work are devoted to Egypt. Bell spent some time in Cairo, describing with innocence, wonder and sympathy the sights, sounds and smells she found there. A true American, she could praise the English for civilizing Egypt and admire the English soldier as second only to the American. Sailing up the Nile aboard the Mayflower, Bell and her shipmates made daily donkey excursions to the tombs and temples along the river as far south as Philae.",true
Asfar as the East is from the West: tales of a traveler who toured the world toward the rising sun.,"""Do you wish to see a human omelette, one-half comic opera and the other half circus? Sit on the wide piazza of the Continental [in Cairo] and scrutinize the passing show as it mixes and disentangles beneath the splendid equestrian statue of Ibrahim Pasha on the Place Ezbekieh,"" p. 55. A good, basic account of Cairo and the Pyramids by Bidwell — ""A.B. Yale"" — on his trip around the world. Illustrated with photographs.",false
"Asia-Minor, Egypt, Nubia, Ethiopia, Cash, and Palestine.","Brief account of Alexandria, Cairo, Luxor, and the Nile to Aswan. Miller visited again in 1895. Illustrated with sketches by the author.",false
At the gates of the East: a book of travel among historic wonderlands.,"As part of a Mediterranean cruise, Barry made a stop in Alexandria. A dull account. Includes a great deal of history. Illustrated with photographs.",true
Au coeur du harem.,A bit of daily life in Egypt as seen by a young Frenchwoman. Describes Alexandria and Cairo.,false
Au Sinai et dans V Arabic Petree.,"On a scientific/archaeological expedition to the Sinai, Cart gives only the sparest of personal details. Includes only the Suez and Sinai areas. Illustrated with photographs.",false
Aupays des pyramides.,No info. CITED IN NUC.,false
"Aux pays du Christ, Egypte, Palestine.",No info,false
"Aux pays du Christ, Egypte, Palestine.","Visited the basic sights in Alexandria and Cairo before continuing on to the Holy Land. A compilation of three trips, 1890, 1893, and 1908. Only this later edition contains all three trips. ",false
Backsheesh; a woman’s wanderings.,"“The air was hot and stifling, almost as hot as I found it once in a mine in Virginia City, thirty-two hundred feet below the surface,”",false
Ballade autour du monde.,"On an around-the-world trip, Chaudoir traveled up the Nile from Alexandria to Aswan. Told in letter form with many comments on the antiquities. ""Visitant ensemble les curiosites du pays, nous avons debut par une excursion a Philae,"" p. 15. Illustrated with photographs.",false
Below the cataracts.,"""This book is a record of a painter who has spent some years of study and of work in the Nile valley. He has pondered long over the strange beauty of the Egyptian monuments; and if, either by illustration or description, he now succeeds in aiding others to an appreciation of the wonders and the mystery of these remains of the most ancient civilisation, and of the picturesqueness of hfe in Egypt to-day, he will not have parted nor written in vain,"" p. v. Good, basic descriptions of the sights from Alexandria to Luxor. Illustrated with 60 plates in color by the author.",true
Bimbashi McPherson: a life in Egypt.,"These letters from McPherson to his family, written over 45 years from Egypt, offer an interesting insight into the life of a British official in Egypt. Well-edited and annotated, the volume includes a foreword by Lawrence Durrell. Illustrated with photographs.",false
Bohemian days.,"On an around-the-world trip, Tadlock visited Ismailia and Cairo. Basic account with some good remarks on Cairo. Illustrated.",false
By Nile and Euphrates; a record of discovery and adventure.,"While working for the University of Pennsylvania, Geere did excavations in Mesopotamia as well as Egypt. A rather dull account of his work. Very technical with few anecdotes. Deals more with Mesopotamia than Egypt, and one gets the impression that Geere feels Egyptian antiquities are of less interest to the true scientist and more for the masses. Illustrated with photographs.",true
"By Nile and Tigris, a narrative of journeys in Egypt and Mesopota- mia on behalf of the British museum between the years 1886 and 1913.","Budge, one of the great archaeologists of Egypt, recounts his adventures and discoveries in Egypt on behalf of the British Museum. Includes a biographical sketch and early history of the British Museum's Egyptian collection. A well-written, entertain- ing, and informative account of the politics and adventures of archaeology in the nineteenth century. Illustrated with photo- graphs.",false
By the overflowing Nile.,"Hoenshel sees only a bit of Egypt, Port Said and the Cairo area, for which he gives a rather basic description. He also includes a history of Egypt. He travels with Abraham Lot whom he met in Palestme. ""At Luxor I Ungered awhile at sunset and in the fading after-glow by the ruins of its famous Temples, and then I return to wander in a dream-vision through a land whose Elysian plains and fair hillsides are not marked with a single tome,"" p. 119. Illustrated with poorly reproduced photographs.",true
Egypt and the Nile.,Photographs of the principal archaeological sights from Alexandria to Philae with descriptive captions. Some interesting shots. Exact date of photographs and photographers not known.,true
By the waters of Egypt.,"A professional writer of travel tales, Lorimer writes in the form of letters home that seem to be simply a literary device. Her trip from Alexandria to Wadi Haifa, with side trips to the Libyan oases, is a fairly common description. Includes some moments of humor: ""By this time the different people in our 'Cook party' are beginning to mean something to me. I no longer think of them collectively as 'Cook's tourists'; they have names and many of them much individuality. One of them fell off her donkey to-day, but as she was of German nationality and build neither her nerves nor her Hmbs suffered,"" p. 181. Illustrated by Benton Fletcher and also with photographs.",false
